0,"('群星 - 专辑《中国民乐大师纯独奏 古琴》整轨无损.flac下载地址', 'http://pan.baidu.com/s/1jGxrIr8', 'exr2')"
1,"('庄心妍 - 专辑《一直想着他》分轨无损.wav下载地址', 'http://pan.baidu.com/s/1pJMPpbl', '55wb')"
2,"('廖昌永 - 专辑《海恋》整轨无损.ape下载地址', 'http://pan.baidu.com/s/1o6ouC8y', 'ht3i')"
3,"('叶启田 - 专辑《唱的好歌全员集合》分轨无损.wav下载地址', 'http://pan.baidu.com/s/1dDoCxG1', '9xyh')"
4,"('群星 - 专辑《HiFi风情 - 海港之夜经典苏联歌曲》分轨无损.wav下载地址', 'http://pan.baidu.com/s/1kT6GxH9', '6xni')"
5,"('群星 - 专辑《Treasure.Island.Sound.UNPLUG.Unplug1》整轨无损.wav下载地址', 'http://pan.baidu.com/s/1kTiZbd9', 'ny8y')"
6,"('范逸臣 - 专辑《无乐不作 新歌+精选》整轨无损2CD.flac下载地址', 'http://pan.baidu.com/s/1kTENfWb', 'exnw')"
7,"('群星 - 专辑《极品爆棚测试天碟》分轨无损CD1.wav下载地址', 'http://pan.baidu.com/s/1dDi5uNZ', 'pgbe')"
8,"('群星 - 专辑《极品爆棚测试天碟》分轨无损CD2.wav下载地址', 'http://pan.baidu.com/s/1gdyGr7P', 'ptnj')"
9,"('群星 - 专辑《JVC-DTSCD》分轨无损.wav下载地址', 'http://pan.baidu.com/s/1jGxUodC', '6mga')"
10,"('群星 - 专辑《测试天碟--HiFi试音王》整轨无损.ape下载地址', 'http://pan.baidu.com/s/1jGKUS7O', 'uf2g')"
11,"('群星 - 专辑《悲戚情歌A》分轨无损.wav下载地址', 'http://pan.baidu.com/s/1sj2zLyl', '6ufg')"
12,"('群星 - 专辑《悲戚情歌B》分轨无损.wav下载地址', 'http://pan.baidu.com/s/1jGgtzMY', '4jsu')"
13,"('群星 - 专辑《极品人声发烧天碟·发烧试音王·女声》分轨无损.wav下载地址', 'http://pan.baidu.com/s/1c0rvcmk', '3vqx')"
14,"('群星 - 专辑《极品人声发烧天碟·发烧试音王·男声》分轨无损.wav下载地址', 'http://pan.baidu.com/s/1pJzMigz', 'w897')"
15,"('谭咏麟 - 专辑《2001-00-飞一般演唱会》整轨无损2CD.wav下载地址', 'http://pan.baidu.com/s/1dDFFGv3', 'agpb')"
16,"('谭咏麟 - 专辑《永恒的珍97金曲回归演唱会》整轨无损2CD.wav下载地址', 'http://pan.baidu.com/s/1ntzks4L', 'b7ja')"
17,"('罗海英 - 专辑《史上最美原生态女中音监听碟皇-试音罗海英》整轨无损.wav下载地址', 'http://pan.baidu.com/s/1dDc0emH', 'yvm1')"
18,"('齐秦 - 专辑《美丽境界(A Beautiful Mind)》整轨无损.wav下载地址', 'http://pan.baidu.com/s/1gdyGETd', '74nh')"
19,"('群星 - 专辑《魅声三天后①》分轨无损CD1.wav下载地址', 'http://pan.baidu.com/s/1qW87Ek0', 'gbss')"
20,"('群星 - 专辑《魅声三天后①》分轨无损CD2.wav下载地址', 'http://pan.baidu.com/s/1dDqDlzr', '6aj8')"
21,"('群星 - 专辑《魅声三天后①》分轨无损CD3.wav下载地址', 'http://pan.baidu.com/s/1c08WiXy', 'bdyq')"
22,"('群星 - 专辑《魅声三天后②》分轨无损CD1.wav下载地址', 'http://pan.baidu.com/s/1jXKF8', 'g1f2')"
23,"('群星 - 专辑《魅声三天后②》分轨无损CD2.wav下载地址', 'http://pan.baidu.com/s/1gdyGGhX', 'u42c')"
24,"('群星 - 专辑《魅声三天后②》分轨无损CD3.wav下载地址', 'http://pan.baidu.com/s/1qWkllIs', 'sifq')"
25,"('钟明秋 - 专辑《试音钟明秋》整规无损.wav下载地址', 'http://pan.baidu.com/s/1c0lpW7e', '1tev')"
26,"('群星 - 专辑《HiFi风情 - 蝴蝶泉边》分轨无损.wav下载地址', 'http://pan.baidu.com/s/1sjqpnid', 'akfv')"
27,"('陈慧娴 - 专辑《2003珍演唱会》整轨无损2CD.wav下载地址', 'http://pan.baidu.com/s/1i3JBKNV', 'vbnp')"
28,"('群星 - 专辑《HiFi风情 - 情深意长》分轨无损.wav下载地址', 'http://pan.baidu.com/s/1nt7YvDv', 'dejn')"
29,"('群星 - 专辑《极品之选 - 经典粤语老歌》分轨无损.wav下载地址', 'http://pan.baidu.com/s/1eQjQhpg', 'e54p')"
30,"('费玉清 - 专辑《国语老歌16首经典版》分轨无损.wav下载地址', 'http://pan.baidu.com/s/1mgvjkik', 's35d')"
31,"('赵照 - 专辑《大经厂》整轨无损.wav下载地址', 'http://pan.baidu.com/s/1o6xgZfO', 'gakv')"
32,"('叶欢 - 专辑《爱疯了》整轨无损.wav下载地址', 'http://pan.baidu.com/s/1hqnjRuc', 'icer')"
33,"('老狼 - 专辑《北京的冬天》整轨无损.ape下载地址', 'http://pan.baidu.com/s/1bnufEmN', 'p167')"
34,"('郑少秋 - 专辑《合唱经典》整轨无损.ape下载地址', 'http://pan.baidu.com/s/1sjA8o1Z', 'fp69')"
35,"('吴雨霏 - 专辑《Across》整轨无损.flac下载地址', 'http://pan.baidu.com/s/1pJDuinT', 'sx4f')"
36,"('邰正宵 - 专辑《重燃爱恋精选集》整轨无损.ape下载地址', 'http://pan.baidu.com/s/1qWyzcfi', 'dwfc')"
